FLOWS,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Peat products,Oil shale and oil sands,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Bio jet kerosene,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,Tide. wave and ocean,Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12567.00001,12567.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,1478.00001,0,0,0,0,0,0,26611.00001,14044.00001
Imports,0,0,0,0,19175.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382374.00001,0,2277608.00001,0,0,0,0,0,0,26978.00001,757143.00001,0,0,89409.00001,285.00001,754711.00001,2595650,276487.00001,3455.00001,43495.00001,143.00001,497.00001,41.00001,25046.00001,0,0,0,3115.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7255611.00001,3115.00001
Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30545.99999,0,0,0,0,0,0,-8567.99999,-1096357.99999,-1.99999,0,-209087.99999,-11518.99999,-910217.99999,-931465.99999,-37280.99999,-7649.99999,-161590.99999,-100544.99999,-3507.99999,-1.99999,-36516.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3544859.99999,0
International marine bunkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168120.99999,-1751955.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1920076.99999,0
International aviation bunkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-375909.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-375909.99999,0
Stock changes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-195.99999,0,-5999.99999,0,0,0,0,0,0,0,15929.00001,0,0,0,0,4249.00001,-1659.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12323.00001,0
Total energy supply,0,0,0,0,19175.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382178.00001,0,2241062.00001,0,0,0,0,0,0,18410,-323285.99999,-1.99999,0,-495589.99999,-11233.99999,-319379.99999,-89431.99999,239206.00001,-4193.99999,-118095.99999,-100401.99999,-3010.99999,39.00001,-11469.99999,0,12567.00001,12567.00001,3115.00001,0,0,0,0,0,0,0,0,0,0,0,0,1478.00001,0,0,0,0,0,0,1453697.00001,17159.00001
Total energy supply - Transfers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305921.00001,0,0,0,0,0,0,0,0,0,0,-77522.99999,-71972.99999,-160264.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3839.99999,0
Total energy supply - Statistical differences,0,0,0,0,166.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3571.00001,0,-420795.99999,0,0,0,0,37351.00001,0,-53113.99999,0,0,0,0,0,0,0,0,-3358.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-436180.99999,0
Total energy supply - Transformation processes,0,0,0,0,-11596.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-329431.99999,0,-1820265.99999,0,-305920.99999,0,0,139010,0,40443.00001,358679.00001,2.00001,0,495590,11234.00001,455137.00001,192867.00001,186972.00001,8685.00001,133736.00001,104878.00001,3011.00001,5785.00001,14014.00001,0,-12566.99999,-12566.99999,-3114.99999,0,0,0,0,0,0,0,0,0,0,0,0,-1477.99999,0,0,0,0,196091.00001,0,-150808.99999,-17158.99999
Total energy supply - Transformation processes - Main activity producer electricity plants,0,0,0,0,-11596.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-285977.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.99999,-359.99999,0,0,0,0,0,0,0,0,-12566.99999,-12566.99999,-3114.99999,0,0,0,0,0,0,0,0,0,0,0,0,-1477.99999,0,0,0,0,170816.00001,0,-156865.99999,-17158.99999
Total energy supply - Transformation processes - Autoproducer electricity plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43453.99999,0,0,0,0,0,0,-1265.99999,0,0,0,0,0,0,0,0,-1898.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25275.00001,0,-21343.99999,0
Total energy supply - Transformation processes - Main activity producer CHP plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Autoproducer CHP plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Main activity producer heat plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Autoproducer heat plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Heat pumps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Electric boilers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Chemical heat for electricity production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Blast furnaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Gas works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Coke ovens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Patent fuel plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - BKB/peat briquette plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Oil refineries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1820265.99999,0,-305920.99999,0,0,140276.00001,0,40443.00001,358679.00001,2.00001,0,495590,11234.00001,455158.00001,195126.00001,186972.00001,8685.00001,133736.00001,104878.00001,3011.00001,5785.00001,14014.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27401.00001,0
Total energy supply - Transformation processes - Petrochemical plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Coal liquefaction plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - Gas-to-liquids (GTL) plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total energy supply - Transformation processes - For blended natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
