Key,Value,Source
country,eu,
base_year,2011,
transport_percentage_of_gasoline_mix_delivered_to_cars,0.94,Based on Odyssee 2011 data
transport_percentage_of_diesel_mix_delivered_to_cars,0.41,Based on Odyssee 2011 data
transport_percentage_of_electricity_mix_delivered_to_cars,1,Trucks do not drive on electricity
transport_road_lng,0.0158,NVGA (see source_analyses/EU/2013)
transport_percentage_of_compressed_network_gas_mix_delivered_to_cars,0.7999,NVGA (see source_analyses/EU/2013)
transport_road_bio_lng,0,Assumption
transport_shipping_lng_ship_type,0,The value is 0 TJ
transport_shipping_bio_lng_ship_type,0,The value is 0 TJ
