nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,523764.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215741.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115740.38,61.981,0.0,58139.399,3467.768,2881.232,68.497,65077.677,0.0,16604.853,18651.714,0.0,0.0,0.0,0.0,0.0,0.0,142.885,11927.0,0.0,15260.493,0.0,0.0,0.0
Recovered and recycled products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,754910.171,0.0,0.0,57086.289,0.0,0.0,0.0,260.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216597.88,0.0,3842.445,0.0,0.0,0.0,0.0,762.082,20220.577,46.997,0.0,43961.231,0.0,0.0,115544.193,98861.898,381.104,2326.288,6239.605,8538.225,0.0,0.0,43206.322,0.0,0.0,0.0,0.0,0.0,0.0,62569.374,0.0,0.0,3119.05,1953.532,0.0,9199.313,0.0,0.0,0.0,0.0,0.0,0.0,2551.95,0.0,106.65,57534.836
Exports,461774.143,0.0,0.0,1094.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98962.436,0.0,10136.51,0.0,0.0,0.0,0.0,3855.444,56075.213,0.0,0.0,513.953,0.0,0.0,83922.794,119772.095,35.714,75.42,0.0,0.0,0.0,0.0,49442.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36615.751
Change in stock,-61022.595,0.0,0.0,-19746.31,0.0,0.0,0.0,32.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6495.236,0.0,-660.398,0.0,0.0,0.0,0.0,65.55,289.124,22.951,0.0,-2814.624,0.0,0.0,-12187.989,-15899.597,0.0,0.0,-260.332,-820.262,0.0,0.0,-2259.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.581,0.0,-132.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,755878.375,0.0,0.0,36245.626,0.0,0.0,0.0,292.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326881.27,0.0,-6954.464,0.0,0.0,0.0,0.0,-3027.812,-35565.512,69.949,0.0,40632.654,0.0,0.0,19433.41,-36809.795,345.39,2250.868,5979.273,7717.963,0.0,0.0,107245.354,61.981,0.0,58139.399,3467.768,2881.232,68.497,127647.051,0.0,16604.853,21770.764,1797.951,0.0,7794.225,0.0,0.0,0.0,142.885,11927.0,0.0,17812.443,0.0,106.65,20919.085
International maritime bunkers,30990.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15578.07,15311.717,0.0,100.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,724888.028,0.0,0.0,36245.626,0.0,0.0,0.0,292.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326881.27,0.0,-6954.464,0.0,0.0,0.0,0.0,-3027.812,-35565.512,69.949,0.0,40632.654,0.0,0.0,3855.34,-52121.511,345.39,2150.308,5979.273,7717.963,0.0,0.0,107245.354,61.981,0.0,58139.399,3467.768,2881.232,68.497,127647.051,0.0,16604.853,21770.764,1797.951,0.0,7794.225,0.0,0.0,0.0,142.885,11927.0,0.0,17812.443,0.0,106.65,20919.085
International aviation,43773.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43773.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,681114.804,0.0,0.0,36245.626,0.0,0.0,0.0,292.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326881.27,0.0,-6954.464,0.0,0.0,0.0,0.0,-3027.812,-35565.512,69.949,0.0,-3140.57,0.0,0.0,3855.34,-52121.511,345.39,2150.308,5979.273,7717.963,0.0,0.0,107245.354,61.981,0.0,58139.399,3467.768,2881.232,68.497,127647.051,0.0,16604.853,21770.764,1797.951,0.0,7794.225,0.0,0.0,0.0,142.885,11927.0,0.0,17812.443,0.0,106.65,20919.085
