nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,519460.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26959.365,683.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32236.843,146973.492,0.0,26820.274,6127.535,7494.243,1422.831,195622.846,0.0,8983.396,7900.781,5155.441,0.0,10889.721,0.0,0.0,0.0,1.69,15633.937,14476.139,11895.482,0.0,182.679,0.0
Recovered and recycled products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,1375542.141,626.829,53265.083,35179.91,1464.53,29.661,47.864,27328.5,0.0,9.32,201.663,0.0,0.0,0.0,0.0,0.0,0.0,365164.42,0.0,9472.624,0.0,0.0,0.0,0.0,2801.836,25783.13,67.819,0.0,2167.771,28.914,0.0,206025.455,1841.658,774.043,5044.549,12720.325,1255.608,0.0,1720.07,492483.603,0.0,0.0,0.0,0.0,0.0,0.0,12414.912,490.8,0.0,0.0,375.274,939.83,10178.17,11869.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93768.649
Exports,332623.777,0.029,0.0,0.0,0.0,0.081,0.0,0.948,0.0,1392.466,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.711,0.0,0.0,0.0,0.0,4124.973,38796.647,0.0,0.0,1249.118,4.335,0.0,42553.338,18854.915,10.584,3586.482,8408.446,13.445,0.0,29.218,97642.013,0.0,0.0,0.0,0.0,0.0,0.0,14953.044,63.21,0.0,0.0,2770.455,1340.511,10424.088,2757.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82505.75
Change in stock,-106247.94,-3.99,-2286.337,3732.788,0.0,0.0,0.0,2615.907,0.0,-25.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4335.468,0.0,5019.985,0.0,0.0,0.0,0.0,-416.556,-2214.253,0.298,0.0,1587.898,-0.347,196.365,-6228.681,2325.152,3.263,-26.25,13.752,-54.153,0.0,-57.433,-105674.982,0.0,0.0,0.0,0.0,0.0,0.0,338.766,0.0,0.0,0.0,82.609,-76.551,-284.369,-479.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,1456130.986,622.811,50978.746,38912.698,1464.53,29.58,47.864,29943.459,0.0,-1408.729,201.188,0.0,0.0,0.0,0.0,0.0,0.0,387788.318,683.868,13350.898,0.0,0.0,0.0,0.0,-1739.693,-15227.77,68.117,0.0,2506.55,24.233,196.365,157243.436,-14688.104,766.723,1431.817,4325.631,1188.01,0.0,1633.419,321403.45,146973.492,0.0,26820.274,6127.535,7494.243,1422.831,193423.48,427.59,8983.396,7900.781,2842.868,-477.233,10359.435,8632.054,0.0,0.0,1.69,15633.937,14476.139,11895.482,0.0,182.679,11262.899
International maritime bunkers,610.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,1455520.418,622.811,50978.746,38912.698,1464.53,29.58,47.864,29943.459,0.0,-1408.729,201.188,0.0,0.0,0.0,0.0,0.0,0.0,387788.318,683.868,13350.898,0.0,0.0,0.0,0.0,-1739.693,-15227.77,68.117,0.0,2506.55,24.233,196.365,156632.869,-14688.104,766.723,1431.817,4325.631,1188.01,0.0,1633.419,321403.45,146973.492,0.0,26820.274,6127.535,7494.243,1422.831,193423.48,427.59,8983.396,7900.781,2842.868,-477.233,10359.435,8632.054,0.0,0.0,1.69,15633.937,14476.139,11895.482,0.0,182.679,11262.899
International aviation,39956.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39956.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,1415564.174,622.811,50978.746,38912.698,1464.53,29.58,47.864,29943.459,0.0,-1408.729,201.188,0.0,0.0,0.0,0.0,0.0,0.0,387788.318,683.868,13350.898,0.0,0.0,0.0,0.0,-1739.693,-15227.77,68.117,0.0,-37449.694,24.233,196.365,156632.869,-14688.104,766.723,1431.817,4325.631,1188.01,0.0,1633.419,321403.45,146973.492,0.0,26820.274,6127.535,7494.243,1422.831,193423.48,427.59,8983.396,7900.781,2842.868,-477.233,10359.435,8632.054,0.0,0.0,1.69,15633.937,14476.139,11895.482,0.0,182.679,11262.899
