Key,Value,Source
country,es,
base_year,2012,
transport_percentage_of_gasoline_mix_delivered_to_cars,0.84,Based on Odyssee 2011 dataset
transport_percentage_of_diesel_mix_delivered_to_cars,0.38,Based on Odyssee 2011 dataset
transport_percentage_of_electricity_mix_delivered_to_cars,1,Based on DE dataset
transport_road_lng,0.1015,NVGA (see source_analyses/EU/2013)
transport_percentage_of_compressed_network_gas_mix_delivered_to_cars,0.0203,NVGA (see source_analyses/EU/2013)
transport_road_bio_lng,0,The value is 0 TJ
transport_shipping_lng_ship_type,0,The value is 0 TJ
transport_shipping_bio_lng_ship_type,0,The value is 0 TJ
