Key,Value,Source / comment
area,be,
group,country,
id,9,
parent_id,9,
enabled.etengine,true,
enabled.etmodel,true,
analysis_year,2013,
has_agriculture,true,
has_buildings,true,
has_climate,true,
has_coastline,true,
has_cold_network,false,
has_electricity_storage,true,
has_employment,true,
has_detailed_chemical_industry,true,
has_fce,true,
has_industry,true,
has_lignite,false,
has_merit_order,true,
has_metal,true,
has_mountains,false,
has_old_technologies,true,
has_other,true,
has_solar_csp,false,
has_import_export,true,
use_network_calculations,true,
has_aggregated_chemical_industry,false,
areable_land,8303.616,**https://www.cia.gov/library/publications/the-world-factbook/geos/be.html; 27.2% of total land
coast_line,66.5,**The World Factbook (https://www.cia.gov/library/publications/the-world-factbook/geos/nl.html)
ccs_cost_in_industry,66,
flh_solar_pv_solar_radiation_max,1397.47075833,
land_available_for_solar,8304,**Assumed to be equal to arable land.
number_of_inhabitants,11099554,**Totale residerende bevolking voor Belgi‘ en gewesten (https://bestat.economie.fgov.be/bestat/crosstable.xhtml?view=1b9e219b-0387-4a70-880a-dc5eccaa244c)
offshore_suitable_for_wind,7311.9,** based on Dutch value; scaled using Dutch and Belgium coastline
onshore_suitable_for_wind,12377,** based on Dutch value; scaled using Dutch and Belgium arable land
other_emission_agriculture,10.00278,
other_emission_built_environment,0,
other_emission_industry_energy,21.14006,
other_emission_transport,0,
solar_pv_profile_1_share,1,
solar_pv_profile_2_share,0,
hydrogen_electrolysis_solar_pv_capacity_ratio,0.436,Different per country: calculated in modeling_experiments/electrolysers
buildings_insulation_constant_1,0.73,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
buildings_insulation_constant_2,0.13,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
buildings_insulation_cost_constant,39402.4,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_buildings_max,3,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_buildings_min,0.6,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
