key,demand,full_load_hours
agriculture_chp_engine_network_gas,0.00000000000000E+00,3.60000000000000E+03
agriculture_chp_engine_biogas,5.98604321514893E+02,8.00000000000000E+03
agriculture_chp_supercritical_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
households_collective_chp_network_gas,0.00000000000000E+00,4.00000000000000E+03
households_collective_chp_biogas,0.00000000000000E+00,8.00000000000000E+03
households_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
buildings_collective_chp_network_gas,0.00000000000000E+00,4.00000000000000E+03
buildings_chp_engine_biogas,4.07322005560906E+03,8.00000000000000E+03
buildings_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
industry_chp_turbine_gas_power_fuelmix,9.07011688080397E+02,6.00000000000000E+03
industry_chp_engine_gas_power_fuelmix,0.00000000000000E+00,6.00000000000000E+03
industry_chp_combined_cycle_gas_power_fuelmix,4.23704031431842E+04,6.00000000000000E+03
industry_chp_ultra_supercritical_coal,5.27160000000000E+04,5.00000000000000E+03
energy_chp_combined_cycle_network_gas,4.37228571428572E+04,4.50000000000000E+03
energy_chp_ultra_supercritical_cofiring_coal,1.62000000000000E+05,4.00000000000000E+03
energy_chp_ultra_supercritical_coal,6.21738000000000E+05,4.00000000000000E+03
energy_chp_ultra_supercritical_lignite,5.55984000000000E+05,6.00000000000000E+03
energy_chp_supercritical_waste_mix,8.26666666666667E+02,6.00000000000000E+03
