Key,Value,Source
country,de,
base_year,2015,
residences_final_demand_space_heating,1510963.84010282,HRE4; See 6_residences_source_analysis_de.xlsx
residences_final_demand_hot_water,383470.860922833,HRE4; See 6_residences_source_analysis_de.xlsx
residences_final_demand_cooling,440.680579857442,HRE4; See 6_residences_source_analysis_de.xlsx
residences_final_demand_lighting,39600,DESTATIS; See 6_residences_source_analysis_de.xlsx
residences_final_demand_cooking,88267.4183944929,HRE4; See 6_residences_source_analysis_de.xlsx
residences_final_demand_appliances,201600,DESTATIS; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_combi_boiiler,0.297620476032702,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_heat_pump_ground,0,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_district,0.0885460542628674,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_heat_pump_air,0.0233511725858342,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_woodpellets,0.12136623515177,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_electric_resistance,0.0765780658556018,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_gas_burner,0.143074415362599,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_oil_burner,0.235122290980495,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_coal_burner,0.0143412897681295,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_space_heating_hybrid_heatpump,0,Adjusted to pass checks. Based on HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_combi_boiiler,0.297620476032702,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_heat_pump_ground,0,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_district,0.0885460542628674,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_heat_pump_air,0.0233511725858342,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_woodpellets,0.12136623515177,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_electric_resistance,0.0765780658556018,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_gas_burner,0.143074415362599,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_oil_burner,0.235122290980495,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_coal_burner,0.0143412897681295,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_hot_water_hybrid_heatpump,0,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_cooling_heat_pump_ground,0,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_cooling_heat_pump_air,0,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_cooling_aircondition,1,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_lighting_incandescent,0.543,Based on expert data; see /source_analyses/eu/2012/6_residences/lighting_source_analysis.xlsx
residences_percentage_lighting_efficient_fluorescent,0.427,Based on expert data; see /source_analyses/eu/2012/6_residences/lighting_source_analysis.xlsx
residences_percentage_lighting_led,0.03,Based on expert data; see /source_analyses/eu/2012/6_residences/lighting_source_analysis.xlsx
residences_percentage_cooking_gas,0.0291987544259616,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_cooking_electric_resistance,0.841649102603191,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_cooking_electric_halogen,0.0534422660569023,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_cooking_electric_induction,0.075709876913945,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_cooking_biomass,0,HRE4; See 6_residences_source_analysis_de.xlsx
residences_percentage_appliances_dishwasher,0.1,
residences_percentage_appliances_fridge_freezer,0.28,
residences_percentage_appliances_washing_machine,0.1,
residences_percentage_appliances_dryer,0.1,
residences_percentage_appliances_television,0.14,
residences_percentage_appliances_computer_media,0.11,
residences_percentage_appliances_vacuum_cleaner,0.1,
residences_percentage_appliances_others,0.07,
residences_hot_water_share_coming_from_solar_thermal,0.5,
residences_percentage_apartments,0.5811,Eurostat; see source_analyses/eu/2015/6_residences
residences_percentage_corner_houses,0,
residences_percentage_detached_houses,0.1293,
residences_percentage_semi_detached_houses,0.1602,
residences_percentage_terraced_houses,0.1294,
average_heat_demand_apartments,0.02212,Use NL2015 average. See source_analyses/nl/2015/6_residences
average_heat_demand_corner_houses,0.03765,
average_heat_demand_detached_houses,0.05819,
average_heat_demand_semi_detached_houses,0.04397,
average_heat_demand_terraced_houses,0.03133,
