Key,Value,Source / comment
area,nl,
group,country,
id,1,
parent_id,1,
enabled.etengine,true,
enabled.etmodel,true,
analysis_year,2015,
has_agriculture,true,
has_buildings,true,
has_climate,true,
has_coastline,true,
has_cold_network,false,
has_electricity_storage,true,
has_employment,true,
has_detailed_chemical_industry,true,
has_fce,true,
has_industry,true,
has_lignite,false,
has_merit_order,true,
has_metal,true,
has_mountains,false,
has_old_technologies,true,
has_other,true,
has_solar_csp,false,
has_import_export,true,
use_network_calculations,true,
has_coal_oil_for_heating_built_environment,false,
has_aggregated_chemical_industry,false,
areable_land,18457,CBS tabel "Landbouw; gewassen; dieren en grondgebruik naar regio". Zie 11_area_CBS_Landbouw.xlsx
coast_line,451,The World Factbook (https://www.cia.gov/library/publications/the-world-factbook/geos/nl.html)
ccs_cost_in_industry,90,Kalavasta 2018
flh_solar_pv_solar_radiation_max,1361.35634547,
land_available_for_solar,18457,Assumed to be equal to arable land.
number_of_inhabitants,16900726,Bevolking; kerncijfers (CBS; http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=37296ned&D1=a&D2=63&HDR=G1&STB=T&VW=T). Zie: 11_area_CBS_Bevolking kerncijfers
offshore_suitable_for_wind,49589,Same as 2013
onshore_suitable_for_wind,27539,Same as 2013
other_emission_agriculture,20.0573864,From emissieregistratie
other_emission_built_environment,0.6636982648,From emissieregistratie
other_emission_industry_energy,8.13411290374,From emissieregistratie
other_emission_transport,1.46563862,From emissieregistratie
solar_pv_profile_1_share,1,
solar_pv_profile_2_share,0,
hydrogen_electrolysis_solar_pv_capacity_ratio,0.427,Different per country: calculated in modeling_experiments/electrolysers
number_of_buildings,392358,20130827_services_source_analysis_NL 2011.xlsx and http://refman.et-model.com/publications/1821
number_of_residences,7587964,Voorraad woningen en niet-woningen; mutaties; gebruiksfunctie; regio (CBS; http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=81955NED&D1=a&D2=1&D3=0&D4=16;33&HDR=T&STB=G1;G2;G3&VW=T)
number_of_apartments,2676274.9028,
number_of_corner_houses,980364.9488,
number_of_detached_houses,1016787.176,
number_of_semi_detached_houses,666982.0356,
number_of_terraced_houses,2247554.9368,
typical_useful_demand_space_heating_apartment,0.0273790433088697,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
typical_useful_demand_space_heating_corner_house,0.0444436934929221,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
typical_useful_demand_space_heating_detached_house,0.069849301483813,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
typical_useful_demand_space_heating_semi_detached_house,0.0539853183103173,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
typical_useful_demand_space_heating_terraced_house,0.0384769640276346,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
typical_roof_surface_apartment_available_for_pv,1.90666666666667E-05,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
typical_roof_surface_corner_house_available_for_pv,3.33E-05,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
typical_roof_surface_detached_house_available_for_pv,6.17E-05,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
typical_roof_surface_semi_detached_house_available_for_pv,4.58E-05,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
typical_roof_surface_terraced_house_available_for_pv,3.25E-05,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_medium_insulation_apartments,32,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_medium_insulation_corner_house,23,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_medium_insulation_detached_house,23,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_medium_insulation_semi_detached_house,26,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_medium_insulation_terraced_house,31,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_high_insulation_apartments,67,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_high_insulation_corner_house,69,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_high_insulation_detached_house,67,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_high_insulation_semi_detached_house,69,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_high_insulation_terraced_house,69,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
insulation_apartments_start_value,13,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
insulation_corner_houses_start_value,9,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
insulation_detached_houses_start_value,11,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
insulation_semi_detached_houses_start_value,13,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
insulation_terraced_houses_start_value,13,See source_analysis/nl/2015/11_area_insulation_typical_pv_and_heat
insulation_apartments_low_share,0.59375,
insulation_apartments_medium_share,0.40625,
insulation_apartments_high_share,0,
insulation_corner_houses_low_share,0.608695652173913,
insulation_corner_houses_medium_share,0.391304347826087,
insulation_corner_houses_high_share,0,
insulation_detached_houses_low_share,0.521739130434783,
insulation_detached_houses_medium_share,0.478260869565217,
insulation_detached_houses_high_share,0,
insulation_semi_detached_houses_low_share,0.5,
insulation_semi_detached_houses_medium_share,0.5,
insulation_semi_detached_houses_high_share,0,
insulation_terraced_houses_low_share,0.580645161290323,
insulation_terraced_houses_medium_share,0.419354838709677,
insulation_terraced_houses_high_share,0,
residences_roof_surface_available_for_pv,145.3,Total based on Ecofys analysis; share of residences is assumed as 2/3
buildings_roof_surface_available_for_pv,72.7,Total based on Ecofys analysis; share of buildings is assumed as 1/3
insulation_buildings_start_value,28.8,NL/2015 value; see source_analyses/nl/2015/11_area/11_area_insulation_typical_pv_and_heat
heat_demand_reduction_high_insulation_buildings,74,NL/2015 value; see source_analyses/nl/2015/11_area/11_area_insulation_typical_pv_and_heat
co2_emission_1990,154.69017631,see 11_areaEEA_NL GHG emissions IPCC format 1990 & 2015.xlsx and 11_area_data_source_analysis.md
co2_emission_1990_aviation_bunkers,4.6046,1990 CO2 Emissions (energy related) according to IPCC version20. CRF avaiable on EEA download site. Summarized in: 201711_EEA_all_countries GHG emissions IPCC format 1990 UNFCCC_v20.xlsx (source_analyses>eu>2011>11_area_data)
co2_emission_1990_marine_bunkers,34.95619,1990 CO2 Emissions (energy related) according to IPCC version20. CRF avaiable on EEA download site. Summarized in: 201711_EEA_all_countries GHG emissions IPCC format 1990 UNFCCC_v20.xlsx (source_analyses>eu>2011>11_area_data)
co2_percentage_free,0.85,NL 2011 value
co2_price,0.0078,http://www.energeia.nl: Feb/12/2016 Cal 17 forward price
economic_multiplier,1,NL 2011 value
employment_fraction_production,0.5,NL 2011 value
employment_local_fraction,0.2,NL 2011 value
man_hours_per_man_year,1800,NL 2011 value
buildings_insulation_employment_constant,0.0093,NL 2011 value
households_insulation_employment_constant,0.014,NL 2011 value
lv_net_capacity_per_step,0.2,Quintel assumption. See github/documentation/network
